strain	Antibiotic	Resistance.phenotype	WT_vs_nonWT	nonWT_binary	resistant	Measurement.sign	Measurement	Measurement.units	Laboratory.Typing.Method	Testing.standard	Testing.standard.year.or.version	Laboratory.Typing.Platform	Vendor	Laboratory.Typing.Method.Version.or.Reagent	Accession	Sample.Accession	Study.Accession	PMID	Lab.Contact
ERR3479952	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479952	SAMEA4781621	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479953	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479953	SAMEA4781622	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479954	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479954	SAMEA4781623	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479955	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479955	SAMEA4781624	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479956	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479956	SAMEA4781625	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479957	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479957	SAMEA4781626	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479958	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479958	SAMEA4781627	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479959	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479959	SAMEA4781628	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479960	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479960	SAMEA4781629	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479961	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479961	SAMEA4781630	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479962	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479962	SAMEA4781631	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479963	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479963	SAMEA4781632	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479965	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479965	SAMEA4781634	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479969	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479969	SAMEA4781638	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479970	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479970	SAMEA4781639	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479972	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479972	SAMEA4781641	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479974	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479974	SAMEA4781643	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479975	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479975	SAMEA4781644	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479976	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479976	SAMEA4781645	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479977	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479977	SAMEA4781646	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479978	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479978	SAMEA4781647	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479979	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479979	SAMEA4781648	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479980	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479980	SAMEA4781649	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479981	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479981	SAMEA4781650	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479982	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479982	SAMEA4781651	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479983	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479983	SAMEA4781652	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479984	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479984	SAMEA4781653	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479985	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479985	SAMEA4781752	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479987	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479987	SAMEA4781754	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479988	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479988	SAMEA4781755	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479989	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479989	SAMEA4781756	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479991	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479991	SAMEA4781758	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479992	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479992	SAMEA4781759	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479993	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479993	SAMEA4781760	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479994	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479994	SAMEA4781761	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479995	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479995	SAMEA4781762	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479996	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479996	SAMEA4781763	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3479999	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3479999	SAMEA4781767	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480000	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480000	SAMEA4781770	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480004	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480004	SAMEA4781776	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480005	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480005	SAMEA4781777	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480007	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480007	SAMEA4781779	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480010	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480010	SAMEA4781782	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480011	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480011	SAMEA4781783	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480012	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480012	SAMEA4781784	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480014	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480014	SAMEA4781786	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480017	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480017	SAMEA4781789	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480018	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480018	SAMEA4781790	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480019	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480019	SAMEA4781791	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480020	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480020	SAMEA4781799	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480021	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480021	SAMEA4781800	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480022	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480022	SAMEA4781801	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480024	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480024	SAMEA4781803	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480025	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480025	SAMEA4781804	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480026	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480026	SAMEA4781805	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480028	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480028	SAMEA4781807	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480030	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480030	SAMEA4781809	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480031	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480031	SAMEA4781792	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480034	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480034	SAMEA4781798	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480035	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480035	SAMEA4781811	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480037	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480037	SAMEA4781813	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480041	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480041	SAMEA4781818	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480042	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480042	SAMEA4781819	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480043	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480043	SAMEA4781820	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480048	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480048	SAMEA4781825	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480050	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480050	SAMEA4781827	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480052	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480052	SAMEA4781829	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480057	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480057	SAMEA4781835	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480063	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480063	SAMEA4781655	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480064	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480064	SAMEA4781656	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480065	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480065	SAMEA4781657	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480067	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480067	SAMEA4781659	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480069	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480069	SAMEA4781661	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480070	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480070	SAMEA4781662	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480071	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480071	SAMEA4781663	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480072	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480072	SAMEA4781666	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480073	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480073	SAMEA4781667	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480074	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480074	SAMEA4781669	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480075	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480075	SAMEA4781670	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480076	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480076	SAMEA4781671	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480077	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480077	SAMEA4781672	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480078	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480078	SAMEA4781674	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480079	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480079	SAMEA4781675	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480080	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480080	SAMEA4781676	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480081	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480081	SAMEA4781677	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480082	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480082	SAMEA4781678	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480083	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480083	SAMEA4781679	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480084	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480084	SAMEA4781680	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480085	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480085	SAMEA4781681	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480086	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480086	SAMEA4781682	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480087	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480087	SAMEA4781683	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480088	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480088	SAMEA4781684	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480089	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480089	SAMEA4781685	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480090	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480090	SAMEA4781688	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480091	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480091	SAMEA4781689	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480092	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480092	SAMEA4781691	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480093	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480093	SAMEA4781692	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480094	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480094	SAMEA4781694	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480095	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480095	SAMEA4781695	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480096	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480096	SAMEA4781696	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480097	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480097	SAMEA4781698	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480098	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480098	SAMEA4781699	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480099	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480099	SAMEA4781700	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480100	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480100	SAMEA4781701	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480101	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480101	SAMEA4781702	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480102	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480102	SAMEA4781703	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480103	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480103	SAMEA4781704	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480104	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480104	SAMEA4781705	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480105	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480105	SAMEA4781706	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480106	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480106	SAMEA4781707	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480107	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480107	SAMEA4781709	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480108	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480108	SAMEA4781710	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480109	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480109	SAMEA4781711	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
