strain	Antibiotic	Resistance.phenotype	Measurement.sign	Measurement	Measurement.units	Laboratory.Typing.Method	Testing.standard	Testing.standard.year.or.version	Laboratory.Typing.Platform	Vendor	Laboratory.Typing.Method.Version.or.Reagent	Accession	Sample.Accession	Study.Accession	PMID	Lab.Contact	Source.Type	Host	Source.details	Infection.status	Country	City	Collection.Year
SB5969	ciprofloxacin	S	-	27	mm	Disk diffusion	EUCAST	2015	Manual	-	-	ERR3416386	SAMEA5753367	PRJEB29143	32404021	Sylvain Brisse	Human	Human	Gut	Colonisation	Madagascar	-	2015-2016
SB5970	ciprofloxacin	S	-	29	mm	Disk diffusion	EUCAST	2015	Manual	-	-	ERR3416387	SAMEA5753368	PRJEB29143	32404021	Sylvain Brisse	Human	Human	Gut	Colonisation	Madagascar	-	2015-2016
SB5971	ciprofloxacin	S	-	35	mm	Disk diffusion	EUCAST	2015	Manual	-	-	ERR3416388	SAMEA5753447	PRJEB29143	32404021	Sylvain Brisse	Human	Human	Gut	Colonisation	Madagascar	-	2015-2016
SB5972	ciprofloxacin	S	-	27	mm	Disk diffusion	EUCAST	2015	Manual	-	-	ERR3416389	SAMEA5753426	PRJEB29143	32404021	Sylvain Brisse	Human	Human	Gut	Colonisation	Madagascar	-	2015-2016
SB5973	ciprofloxacin	S	-	27	mm	Disk diffusion	EUCAST	2015	Manual	-	-	ERR3416390	SAMEA5753413	PRJEB29143	32404021	Sylvain Brisse	Human	Human	Gut	Colonisation	Madagascar	-	2015-2016
SB5974	ciprofloxacin	S	-	27	mm	Disk diffusion	EUCAST	2015	Manual	-	-	ERR3416391	SAMEA5753333	PRJEB29143	32404021	Sylvain Brisse	Human	Human	Gut	Colonisation	Madagascar	-	2015-2016
SB5499	ciprofloxacin	S	-	28	mm	Disk diffusion	EUCAST	2015	Manual	-	-	ERR3417382	SAMEA5753391	PRJEB29143	32404021	Sylvain Brisse	Human	Human	Gut	Colonisation	Madagascar	-	2015-2016
SB5519	ciprofloxacin	S	-	28	mm	Disk diffusion	EUCAST	2015	Manual	-	-	ERR3417383	SAMEA5753700	PRJEB29143	32404021	Sylvain Brisse	Human	Human	Gut	Colonisation	Madagascar	-	2015-2016
KGMAR-2016-1400	ciprofloxacin	S	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	ERR4570363	SAMEA7293484	PRJEB40149	33266320	BjÃÂ¸rn Tore Lunestad	Marine	Mytilus edulis	Unknown	Unknown	Norway	-	2016
924_HSM	ciprofloxacin	R	-	10	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030736	SAMEA110371301	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
1668_HSAC	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030788	SAMEA110371353	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Centre	2011-2016
1885_HSAC	ciprofloxacin	R	-	18	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030803	SAMEA110371368	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
2268_HSAC	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030804	SAMEA110371369	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
2911	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030836	SAMEA110371401	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
2912	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030837	SAMEA110371402	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
2913	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030838	SAMEA110371403	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
2919	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030839	SAMEA110371404	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
2920	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030840	SAMEA110371405	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
2922	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030841	SAMEA110371406	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
2927	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030842	SAMEA110371407	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
2915_HSAMS	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030851	SAMEA110371416	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
2917_HSAMS	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030852	SAMEA110371417	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
2918_HSAMS	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030853	SAMEA110371418	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
2925_HSAMS	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030857	SAMEA110371422	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
2928	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030877	SAMEA110371442	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
2930	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030879	SAMEA110371444	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
2931	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030880	SAMEA110371445	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
4964	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030966	SAMEA110371531	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
4965	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030967	SAMEA110371532	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
4966	ciprofloxacin	R	-	10	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030968	SAMEA110371533	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
4967	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030969	SAMEA110371534	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
4968	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030970	SAMEA110371535	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp5510	ciprofloxacin	R	-	15	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10031138	SAMEA110371703	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	North	2011-2016
Kp5508	ciprofloxacin	I	-	23	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10031141	SAMEA110371706	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp5509	ciprofloxacin	S	-	25	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10031142	SAMEA110371707	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp5511	ciprofloxacin	R	-	15	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10031143	SAMEA110371708	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp5513	ciprofloxacin	R	-	20	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10031144	SAMEA110371709	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp5514	ciprofloxacin	R	-	18	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10031145	SAMEA110371710	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp5516	ciprofloxacin	R	-	15	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10031146	SAMEA110371711	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp5519	ciprofloxacin	R	-	18	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10031147	SAMEA110371712	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp5520	ciprofloxacin	I	-	22	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10031148	SAMEA110371713	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp5530	ciprofloxacin	R	-	21	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10031154	SAMEA110371719	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp997	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030750	SAMEA110371315	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp986	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030749	SAMEA110371314	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp972	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030748	SAMEA110371313	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp919	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030747	SAMEA110371312	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp918	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030746	SAMEA110371311	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp910	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030744	SAMEA110371309	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp898	ciprofloxacin	S	<	25	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030743	SAMEA110371308	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp888	ciprofloxacin	R	-	9	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030733	SAMEA110371298	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp875	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030732	SAMEA110371297	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp874	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030731	SAMEA110371296	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp850	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030730	SAMEA110371295	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp840	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030729	SAMEA110371294	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp829	ciprofloxacin	S	-	28	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030728	SAMEA110371293	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp828	ciprofloxacin	S	-	26	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030722	SAMEA110371287	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp809	ciprofloxacin	R	-	21	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030721	SAMEA110371286	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp804	ciprofloxacin	R	-	20	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030720	SAMEA110371285	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp776	ciprofloxacin	S	-	26	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030718	SAMEA110371283	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp748	ciprofloxacin	I	-	23	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030717	SAMEA110371282	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp730	ciprofloxacin	S	-	29	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030713	SAMEA110371278	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp725	ciprofloxacin	S	-	26	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030712	SAMEA110371277	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp689	ciprofloxacin	I	-	22	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030711	SAMEA110371276	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp684	ciprofloxacin	S	-	29	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030710	SAMEA110371275	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4887	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10031021	SAMEA110371586	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4886	ciprofloxacin	R	-	13	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10031020	SAMEA110371585	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4885	ciprofloxacin	R	-	13	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10031019	SAMEA110371584	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4884	ciprofloxacin	R	-	12	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10031018	SAMEA110371583	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4880	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10031010	SAMEA110371575	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4879	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10031009	SAMEA110371574	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4878	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10031008	SAMEA110371573	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4877	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10031007	SAMEA110371572	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4876	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10031006	SAMEA110371571	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4875	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10031005	SAMEA110371570	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4874	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10031004	SAMEA110371569	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4873	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10031003	SAMEA110371568	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4872	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10031002	SAMEA110371567	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Centre	2011-2016
Kp4870	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10031000	SAMEA110371565	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4869	ciprofloxacin	R	-	10	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030925	SAMEA110371490	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4868	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030999	SAMEA110371564	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4867	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030998	SAMEA110371563	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4860	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030976	SAMEA110371541	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4858	ciprofloxacin	I	-	22	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030974	SAMEA110371539	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4854	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030971	SAMEA110371536	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4853	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030962	SAMEA110371527	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4851	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030960	SAMEA110371525	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4850	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030959	SAMEA110371524	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4848	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030958	SAMEA110371523	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4846	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030956	SAMEA110371521	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4845	ciprofloxacin	R	-	6	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030955	SAMEA110371520	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4408	ciprofloxacin	S	-	28	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030709	SAMEA110371274	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4389	ciprofloxacin	S	-	26	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030708	SAMEA110371273	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4387	ciprofloxacin	S	-	25	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030707	SAMEA110371272	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4378	ciprofloxacin	S	-	28	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030706	SAMEA110371271	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4367	ciprofloxacin	R	-	18	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030705	SAMEA110371270	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4333	ciprofloxacin	S	-	28	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030704	SAMEA110371269	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4325	ciprofloxacin	S	-	28	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030703	SAMEA110371268	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4297	ciprofloxacin	S	-	28	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030702	SAMEA110371267	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4292	ciprofloxacin	I	-	22	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030701	SAMEA110371266	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4287	ciprofloxacin	S	-	30	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030700	SAMEA110371265	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4279	ciprofloxacin	S	-	25	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030699	SAMEA110371264	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4265	ciprofloxacin	S	-	26	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030682	SAMEA110371247	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4264	ciprofloxacin	I	-	24	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030681	SAMEA110371246	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4263	ciprofloxacin	I	-	24	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030680	SAMEA110371245	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4257	ciprofloxacin	S	-	27	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030676	SAMEA110371241	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4256	ciprofloxacin	S	-	26	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030675	SAMEA110371240	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4254	ciprofloxacin	S	-	28	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030674	SAMEA110371239	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4248	ciprofloxacin	I	-	24	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030673	SAMEA110371238	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4247	ciprofloxacin	I	-	24	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030672	SAMEA110371237	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4246	ciprofloxacin	S	-	29	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030671	SAMEA110371236	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4228	ciprofloxacin	S	-	29	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030669	SAMEA110371234	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4214	ciprofloxacin	R	-	21	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030679	SAMEA110371244	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4212	ciprofloxacin	S	-	26	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030678	SAMEA110371243	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4197	ciprofloxacin	S	-	28	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030698	SAMEA110371263	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4195	ciprofloxacin	R	-	21	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030697	SAMEA110371262	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
Kp4194	ciprofloxacin	S	-	25	mm	Disk diffusion	EUCAST	v11.0 	Manual	-	-	ERR10030696	SAMEA110371261	PRJEB38289	33753763	Taane Clark	Human	Human	Unknown	Infection	Portugal	Lisbon	2011-2016
